人民币	人民币 ￥
日元	日元 ￥ 💴
日币	日币 ￥
美元	美元 $ 💵 💲
美刀	美刀 $
港元	港元 HK$
港币	港币 HK$
澳门元	澳门元 MOP$
澳门币	澳门币 MOP$
葡币	葡币 MOP$
新加坡元	新加坡元 S$
新加坡币	新加坡币 S$
欧元	欧元 € 💶
英镑	英镑 £ 💷
笑脸	笑脸 😀
露齿笑	露齿笑 😃
哈	哈 😄
哈哈	哈哈 😄
开心	开心 😄
笑	笑 😄 😊
高兴	高兴 😄
憨憨	憨憨 😄
嘻嘻	嘻嘻 😁
嘿嘿	嘿嘿 😁
咧嘴笑	咧嘴笑 😁
傻笑	傻笑 😆
眯眼笑	眯眼笑 😆
笑死	笑死 😆
好耶	好耶 😆
笑晕	笑晕 😆
汗	汗 😅 😰 😓
冷汗	冷汗 😅 😰 😓
冒汗	冒汗 😅 😰 😓
无语	无语 😅 😰 😓
尴尬	尴尬 😅 😰 😓
苦笑	苦笑 😅
大笑	大笑 🤣 😂
笑哭	笑哭 🤣 😂
笑哭了	笑哭了 🤣 😂
笑出眼泪	笑出眼泪 🤣 😂
打滚	打滚 🤣
打滚儿	打滚儿 🤣
笑得打滚	笑得打滚 🤣
笑得打滚儿	笑得打滚儿 🤣
笑得满地打滚	笑得满地打滚 🤣
笑得满地打滚儿	笑得满地打滚儿 🤣
呵呵	呵呵 🙂 🙃
倒脸	倒脸 🙃
颠倒	颠倒 🙃
颠倒的脸	颠倒的脸 🙃
消失	消失 🫠 🫥
溶解	溶解 🫠
融化	融化 🫠
眨眼	眨眼 😉
媚眼	媚眼 😉
抛媚眼	抛媚眼 😉
微笑	微笑 😊
脸红	脸红 😊 😳
光环	光环 😇
微笑天使	微笑天使 😇
喜笑颜开	喜笑颜开 🥰
爱心环绕	爱心环绕 🥰
爱慕	爱慕 🥰
迷恋	迷恋 🥰
陷入爱河	陷入爱河 🥰
坠入爱河	坠入爱河 🥰
幸福	幸福 🥰
喜欢	喜欢 😍 ♥️
花痴	花痴 😍
崇拜	崇拜 🤩
好崇拜	好崇拜 🤩
好崇拜哦	好崇拜哦 🤩
星星眼	星星眼 🤩
眼冒星星	眼冒星星 🤩
亲亲	亲亲 😘
飞吻	飞吻 😘
亲一个	亲一个 😘
亲一下	亲一下 😘
啵一个	啵一个 😘
啵儿一个	啵儿一个 😘
噘嘴	噘嘴 😗 🙎‍♂️ 🙎‍♀️
羞涩亲亲	羞涩亲亲 😚
微笑亲亲	微笑亲亲 😙
含泪的笑脸	含泪的笑脸 🥲
含泪笑脸	含泪笑脸 🥲
欣慰	欣慰 🥲
好吃	好吃 😋
津津有味	津津有味 😋
美味	美味 😋
吐舌	吐舌 😛 😜 😝
吐舌头	吐舌头 😛 😜 😝
略略略	略略略 😛 😜 😝
单眼吐舌	单眼吐舌 😜
调皮	调皮 😜
捣蛋	捣蛋 😜
傻瓜	傻瓜 🤪
傻瓜脸	傻瓜脸 🤪
眯眼	眯眼 😝
眯眼吐舌	眯眼吐舌 😝
开玩笑	开玩笑 😝
嘲笑	嘲笑 😝
发财	发财 🤑
财迷	财迷 🤑
拜金	拜金 🤑
见钱眼开	见钱眼开 🤑
钱眼	钱眼 🤑
钱眼儿	钱眼儿 🤑
抱抱	抱抱 🤗 🫂
拥抱	拥抱 🤗 🫂
捂嘴	捂嘴 🤭 🙊
捂嘴巴	捂嘴巴 🤭 🙊
捂上嘴巴	捂上嘴巴 🤭 🙊
捂住嘴巴	捂住嘴巴 🤭 🙊
捂着嘴巴	捂着嘴巴 🤭 🙊
捂嘴笑	捂嘴笑 🤭
捂着嘴笑	捂着嘴笑 🤭
好笑	好笑 🤭
不敢相信	不敢相信 🫢
unbelievable	unbelievable 🫢
偷看	偷看 🫣
偷偷看	偷偷看 🫣
偷瞧	偷瞧 🫣
偷偷瞧	偷偷瞧 🫣
单眼偷看	单眼偷看 🫣
不敢看	不敢看 🫣
我不敢看	我不敢看 🫣
画面太美我不敢看	画面太美我不敢看 🫣
那画面太美我不敢看	那画面太美我不敢看 🫣
嘘	嘘 🤫
安静	安静 🤫
安静的脸	安静的脸 🤫
小声	小声 🤫
小点声	小点声 🤫
