棒	棒 (๑•̀ㅂ•́)و✧
爆笑	爆笑 ヾ(≧▽≦*)o o(*≧▽≦)ツ
bingo	bingo (o゜▽゜)o☆[BINGO!]
嘚瑟	嘚瑟 ～(￣▽￣～)(～￣▽￣)～ ʅ（´◔౪◔）ʃ
得意	得意 <(￣︶￣)> <(￣ˇ￣)/
嗯哪	嗯哪 嗯~o(*￣▽￣*)o
飞	飞 ︿(￣︶￣)︿
嘎嘎	嘎嘎 ．<{=．．．．（嘎~嘎~嘎~）
干杯	干杯 (￣▽￣)～■干杯□～(￣▽￣) []~(￣▽￣)~*
高兴	高兴 φ(゜▽゜*)♪
跟你说	跟你说 ╰(￣▽￣)╭
go	go <(￣︶￣)↗[GO!]
good	good o(￣▽￣)ｄ
哈哈哈哈	哈哈哈哈 *´∀`)´∀`)*´∀`)*´∀`)
嗨	嗨 (｡･∀･)ﾉﾞ ヾ(≧∇≦*)ゝ
好	好 （゜▽＾*））
好滴	好滴 (u‿ฺu✿ฺ) （゜▽＾*）） (u‿ฺu✿ฺ)
好开心	好开心 (*^▽^*)
好耶	好耶 ヽ(✿ﾟ▽ﾟ)ノ
happy	happy (´▽`ʃ♡ƪ)
hi	hi Hi~o(*￣▽￣*)ブ
hiahia	hiahia ○(＾皿＾)っHiahiahia… ○(＾皿＾)っ
high	high ((へ(へ´∀`)へ
吼吼	吼吼 ^O^
欢迎	欢迎 (＾∀＾）／欢迎＼(＾∀＾）
获胜	获胜 ヾ(￣ー￣)X(^▽^)ゞ
惊喜	惊喜 ╰(*°▽°*)╯ ⊙▽⊙
击掌	击掌 (￣ー￣)人(^▽^) (*°▽°*)八(*°▽°*)♪
啦啦	啦啦 ♪(^∇^*)
啦啦啦	啦啦啦 ..φ(0￣*)啦啦啦_φ(*￣0￣)′ ♪(^∇^*)
乐	乐 (๑´ㅂ`๑) φ(≧ω≦*)♪
乐呵	乐呵 (≧∀≦)ゞ
满足	满足 (๑¯∀¯๑) o(*￣︶￣*)o
咩哈哈	咩哈哈 <(*￣▽￣*)/
噢耶	噢耶 ε(*´･∀･｀)зﾞ (ﾟ∀ﾟ)ﾉ♡ (^&^)/
哦哦	哦哦 （≧0≦）//（-_-。）・・・
拍手	拍手 ””\(￣ー￣)(￣ー￣)//””
拍桌	拍桌 o(*≧▽≦)ツ┏━┓
飘	飘 (～￣▽￣)～ (～o￣3￣)～
噗	噗 (/≧▽≦)/
期待	期待 (☆▽☆)
散花	散花 *★,°*:.☆(￣▽￣)/$:*.°★*。
闪	闪 ✧(≖◡≖✿) =└(┐卍^o^)卍 ✧(≖ ◡ ≖✿)
太棒了	太棒了 ㄟ(≧◇≦)ㄏ
逃	逃 ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪ …（⊙＿⊙；）… ε=┏(゜ロ゜;)┛
陶醉	陶醉 (*︾▽︾)
谢谢	谢谢 ☆⌒(*＾-゜)vTHX!!
天啊	天啊 ♪(´∇`*)
我回来啦	我回来啦 ||ヽ(*￣▽￣*)ノミ|Ю
我来了	我来了 ~(～￣▽￣)～
兴奋	兴奋 (p≧w≦q)
幸福	幸福 o(*￣▽￣*)o
耶	耶 (＾－＾)V
哟	哟 (＾Ｕ＾)ノ~ＹＯ
有了	有了 (o゜▽゜)o☆ (o゜▽゜)o☆
赞	赞 (((o(*ﾟ▽ﾟ*)o)))
涨	涨 (￣︶￣)↗
振奋	振奋 (o>ε(o>ｕ(≧∩≦)
真好	真好 o(^▽^)o
嗷	嗷 (>▽<) ヾ(≧O≦)〃 ┗|｀O′|┛ 嗷~~
笨	笨 (～￣(OO)￣)ブ (っ*´Д`)っ ヾ(´∀`o)+ (～￣(OO)￣)ブ
表	表 <(￣3￣)>表！
不要啊	不要啊 不＞(￣ε￣=￣3￣)<要 ヽ(≧□≦)ノ
蹭	蹭 (*￣▽￣)((≧︶≦*)
等等我	等等我 ...(*￣０￣)ノ
嘟嘴	嘟嘴 o(￣ε￣*) （○｀3′○） （○｀ 3′○） (￣3￣)
乖	乖 o(*^＠^*)o
鬼脸	鬼脸 (￣┰￣*)
好可爱	好可爱 （*＾-＾*）
好喜欢	好喜欢 (≧∇≦)ﾉ
坏人	坏人 ～(TロT)σ
