# 汉字拼音映射，用于检查拼音书写是否正确
# 以空格分隔
#
#
### ----------不在字表的注音：----------
騃 ai
爊 ao
𧈢 ba
峇 ba
粄 ban
躄 bi
鵖 bi
猼 bo
礤 ca
閦 chu
鯙 chun
𪻐 cong
䐛 da
蜑 dan
氹 dang
鮗 dong
遯 dun
犎 feng
鳆 fu
𫚒 fu
咈 fu
㹴 geng
栱 gong
冓 gou
淈 gu
鱥 gui
脝 heng
魟 hong
睺 hou
泘 hu
沕 hu
㺀 hu
獚 huang
𫚔 hui
檵 ji
䇲 jia
榎 jia
鳽 jian
珓 jiao
挢 jiao
鱎 jiao
喼 jie
椇 ju
鵙 ju
罥 juan
朘 juan
濬 jun
埈 jun
峠 ka
窾 kuan
鞟 kuo
鯻 la
鿶 lang
𧒽 lei
睖 leng
𫁡 li
栃 li
脷 li
敹 liao
垅 long
鯥 lu
𤝽 lv
铓 mang
𱇮 mang
脢 mei
濛 meng
蒾 mi
䕷 mi
旼 min
慜 min
暋 min
麿 mo
拏 na
㖏 nie
鬅 peng
魾 pi
魮 pi
𫚙 pu
碁 qi
箝 qian
犭 quan
荵 ren
叡 rui
睒 shan
昰 shi
糸 si
楤 song
𧊕 song
䍁 sui
㓥 tang
稊 ti
瓋 ti
魠 tuo
梶 wei
揾 wen
螉 weng
蟱 wu
㵲 wu
矽 xi
蠵 xi
鰕 xia
𮬣 xian
蚿 xian
灺 xie
卨 xie
呴 xu
揎 xuan
蟳 xun
鰋 yan
鷃 yan
飖 yao
鮧 yi
鮨 yi
煐 ying
楢 you
魣 yu
蚖 yuan
䗃 zhan
鱵 zhen
炡 zheng
晸 zheng
凪 zhi
塚 zhong
鯮 zong
𭎂 zong
### ----------在字表但未被脚本自动纳入的注音：----------
# 嗯 eng # 目前以 en 为主
鿫 ao
㞎 ba
𰻝 biang
𤭢 cei
蟌 cong
㨃 dui
欸 ei
鿔 ge
睆 huan
佧 ka
堀 ku
菈 la
𫟷 li
鿭 ni
嬢 niang
珮 pei
螓 qin
䞍 qing
朊 ruan
挼 ruo
辻 shi
薙 ti
畑 tian
鿬 tian
樋 tong
氽 tun
雫 xia
咲 xiao
哟 yo
唷 yo
𫚪 yu
跩 zhuai
# -_- ----------这行下面是要过滤掉的词汇，不进行注音检查----------
娭毑
杭育
氐土貉
道在屎溺
瓦查屎溺
随地便溺
深厉浅揭
神荼郁垒
郁垒神荼
慎馀肉庄
深甽镇
声嘒嘒兮
泥而不滓
蹑蹻担簦
臲卼
女红
呕哑嘲哳难为听
毰毸
鬅鬙
夂部
只鸡斗酒定膰吾
只恐先春鶗鴂鸣
菓珍
和菓子
姜承録
李汭燦
梁靖崑
逸景佲居
宇髄天元
廻龙村
天廻龙
火齐汤
火齐红
火齐珠
齐缞
㺢㹢狓
鵋䳢
浅浅
约氏獛
瑟氏獛
沙鯭鱼
凵部
陈蕃下榻
砢碜
兰屿大叶螽蟴
肋脦
乐陵
乐陵市
乐陵县
山东省乐陵市
山东乐陵
德州乐陵
乐亭
乐亭大鼓
乐亭市
乐亭县
乐亭镇
唐山乐亭
河北乐亭
派司
郭明錤
奤夿屯
奤夿屯村
虾蟆陵
解州
解州关帝庙
解州镇
韩复榘
汤汤
浩浩汤汤
秏鸡猫儿
浩然与溟涬同科
黑胫侎缘蝽
阿閦鞞佛
阿目佉跋折罗
吠舍佉月
佉卢文
佉卢文字
佉卢字母
佉罗文
佉阳照
僧佉论
僾见忾闻
黯黮章
瞬光斩黯黮
艸部
箣竹
僝僽
剿说
踧踖不安
等衰
大宛其农场
大宛
宛马
大宛马
宛马至今来
登阵常骑大宛马
宛马总肥春苜蓿
胡马大宛名
大宛国
伐木丁丁
梵呗
梵呗圆音
空山梵呗
髣髴兮
髣髴兮若轻云之蔽月
辵部
般若
般若波罗蜜
般若波罗蜜多
般若波罗蜜多心经
般若经
般若库
般若寺
般若心经
般若掌
般若智慧
大般若
大般若经
大梵般若
金刚般若波罗蜜
龙象般若功
摩诃般若波罗蜜
摩诃般若波罗蜜多
行深般若波罗蜜多时
螲蟷
闭户螲蟷
蝼螲
台湾螲蟷
螲蟷科
胳肢窝
胳肢窝儿
米泽瑠美
瑠川里菜
醽醁
眼𥆧
眼𥆧心跳
川射干
射干
射干抗病毒注射液
射干利咽口服液
馎饦
大局阢陧
阢陧
阢陧不安
白鼻豿
菶菶萋萋
秘鲁苦蘵
苦蘵
拂士
法家拂士
入则无法家拂士
彩虹锠螺
台湾锠螺
孱头
车善玗
池建玗
卢珉玗
千玗嬉
田峻玗
珣玗琪
朱抮玗
趻踔
陈金釭
