江	705254
吠	6243
穴	98540
刨	8692
钓	24914
爨	138
糒	7
栉	1455
堉	45
砉	112
琰	5887
禽	20601
屯	19050
臾	4334
凃	2
概	227791
抵	168425
臃	3727
榧	225
骼	7895
瑓	4
妧	17
逊	51586
馧	1
怊	16
嶟	1
𣗋	1
秽	12888
槽	12413
姽	285
醾	1
旰	214
疠	202
斠	9
卵	18273
跟	1547566
蔓	33855
憨	19729
范	224773
酊	2083
腊	36786
醨	13
榉	582
𫘨	1
路	1338442
疰	19
新	2232036
樽	2442
负	391987
稼	10735
娼	10279
粒	50992
蓓	12619
欂	1
膊	73984
娴	21334
荨	528
獴	74
镰	12381
焖	1423
累	238892
贯	76865
啰	11176
数	994720
戾	8678
楣	4190
观	588782
赟	1479
挨	83877
浟	11
泖	155
裾	1370
恿	5407
怿	556
𫛭	1
莓	6324
玓	5
毒	331577
茨	23762
珠	271643
牤	119
饸	50
嬉	26211
尴	88571
堾	1
拊	752
惆	9649
苊	157
昒	8
胨	50
憬	13094
锰	564
蕰	10
田	339959
旵	9
嵯	556
桁	860
硁	26
雠	738
箴	3544
鳉	6
避	268047
废	148746
灿	71505
梾	10
偿	58353
荓	4
蒐	21
鳏	695
亟	2442
骧	2553
𬇙	1
狨	159
沼	18626
璐	28684
嫉	38201
岨	2
困	225134
寒	448295
纯	212266
躯	93459
礴	4040
琡	1
沃	49338
瑰	58093
龌	7452
徼	320
澼	7
羼	135
颅	21617
抨	3372
动	3073270
顾	523267
祂	838
滟	1713
鲆	157
绀	277
𫔎	1
筒	54585
搓	28104
仟	1355
颉	3360
聊	265574
碉	4404
芨	1165
墉	1606
涫	812
溇	4
簿	9482
簧	7431
绯	23151
卓	118672
黯	42787
蚰	116
元	732266
阁	115475
椽	1140
黼	685
腾	95411
酾	71
𬕂	1
硫	5472
恨	326213
翦	3196
迦	30383
遨	2436
庐	17028
踟	703
嬴	16437
渟	20
殒	2908
有	17847014
犰	552
杯	301691
炊	9155
镠	361
俦	1335
桉	1067
镏	593
酩	2358
腩	860
柳	297898
踯	879
鸯	10165
港	132168
铧	953
好	7259685
䥽	1
阵	857775
哧	31475
饽	1828
脾	74236
弼	8250
漼	24
蟾	5237
桧	3677
澽	12
辈	281935
辐	5669
彪	42249
簏	176
阉	6490
术	579875
酃	1219
僵	94956
䐃	1
到	11505437
徽	33081
抓	82876
嫒	1830
魂	291929
擂	22549
呐	48066
涴	24
毁	150470
辫	17060
螟	811
𬭸	1
虤	1
鹪	197
蔺	3499
佐	50272
凛	44093
籴	141
汴	5637
屁	159869
蓼	1445
追	502403
脂	37879
鄂	14062
痉	5744
藉	20782
珰	528
讯	82710
菠	4057
铼	16
鬒	18
封	341038
垾	1
粼	7050
躐	55
打	2882338
瑔	2
瘘	109
洁	173304
癜	156
抢	218938
殁	1536
漻	12
悠	159693
屑	62045
灰	202763
鲴	4
嘉	112634
礁	9083
椁	1369
很	3994437
侈	11949
遂	54529
聂	36077
矧	83
祯	13396
掰	10933
说	12000461
误	243474
掠	81962
兵	1226805
诟	988
筚	291
驴	30459
酵	3291
诼	138
篼	150
慵	6577
疗	94631
辌	93
昱	6274
栐	5
分	2568783
𩾌	1
跋	26560
涞	476
禧	15855
俐	11828
嗉	249
匐	4588
棁	42
磁	28221
玺	12726
壁	182740
勃	81809
郿	498
鬯	130
鹐	11
栾	3069
獠	7357
煨	1425
砾	5748
𫔍	1
尼	272245
荠	932
鬟	13672
媒	65753
拓	63144
窒	22176
苓	4356
奚	8801
魏	120377
眠	74643
蔼	14034
系	942246
洚	26
逵	5274
熇	39
琲	5
𬍛	1
凓	4
斟	17603
墁	195
枉	35784
帐	148793
丐	45708
图	457308
曾	621972
嗒	16687
饼	40372
嵴	59
挠	40574
孟	162476
码	160837
烊	1883
惊	1161954
郊	36463
旒	543
麽	98351
痒	54134
盾	113910
蛾	9695
秒	90581
糟	102903
姒	3602
锂	194
怵	3617
奉	131632
么	9727135
角	557635
胩	34
赴	52185
铐	10236
浴	69323
惩	46148
寂	144617
擐	88
哐	7051
暾	317
䲟	1
部	1972177
沟	80790
碧	113619
𬟁	1
峨	18375
惨	222831
棉	44298
焊	3325
裉	203
𦰡	1
粟	10359
蓠	512
铠	25758
绽	44372
屣	271
煓	1
糨	1125
星	955657
砺	3224
荔	4247
腓	1738
骞	2003
艟	556
牟	13963
檞	101
剟	9
蓰	34
铰	718
昌	87939
篱	8717
松	452902
睾	2808
葵	12819
邨	109
棼	239
呵	570894
您	523542
储	41835
愁	93377
沥	9717
愣	198677
瘌	1497
励	76448
璠	1233
伽	18296
鳟	437
𬍡	1
莉	180100
材	212794
楒	1
礼	456546
艹	146001
蒺	1259
缧	140
竞	100300
舟	55740
糯	4553
泯	8436
钰	11517
檑	603
菔	171
𪟝	1
罽	39
氟	462
霾	5227
载	127413
睁	186983
肋	19238
罐	32952
漯	417
坰	79
盛	202049
硼	216
扯	131479
甡	111
𬶟	1
圾	45933
佽	12
俗	134100
妒	47551
崂	1383
禒	2
沽	4914
馒	14819
敔	4
铑	26
氯	1088
帧	21371
苟	25038
稞	929
崴	4791
鸧	19
葰	42
贴	169182
龋	413
咋	98412
诊	29638
璋	38931
每	1015026
桯	9
迟	203434
产	617668
湴	3
年	3465447
省	235938
消	792839
幼	84745
租	98429
嗽	28818
瞠	6875
峡	33939
蹼	400
闽	7170
候	2064969
狞	29727
鹴	55
蹴	1920
锜	201
稗	966
造	518335
耠	23
昨	238838
怠	21248
崀	4
稂	21
𨭉	1
珋	7
貊	991
友	869920
坑	56880
村	343960
罘	216
莨	99
蒗	116
犯	254132
溴	158
鼋	658
鏊	394
施	301592
疽	993
暵	4
喽	29097
觚	239
瞰	4718
淀	8591
几	2760668
胱	1406
燠	334
纴	5
襕	72
旨	53095
痨	1272
枰	686
嗨	21688
斓	5912
钋	82
藨	9
门	2233463
嵊	243
褒	9131
功	945624
冰	534563
锋	232526
赊	2109
巴	523595
浊	18801
聒	2543
碑	34261
橞	5
频	70698
觯	183
积	188813
恒	74156
荡	226790
㧟	1
岚	69464
冠	79416
厖	21
虽	1211359
白	2322212
卡	402257
觟	4
杧	1
淴	9
巧	241946
咸	33067
淄	3143
莱	152962
荐	34961
薨	840
呋	124
慰	160489
笏	919
谊	36242
殛	1927
鬏	140
临	332191
蕾	83955
飑	159
料	263519
蹈	34346
脒	11
渼	16
眵	57
丼	9001
帼	2485
縠	47
够	768471
薙	2
鸼	4
腠	73
溵	3
阽	36
丈	238064
渴	81030
耳	448850
悃	191
薄	143290
侯	142641
伧	661
弧	25809
杨	633481
楯	137
亘	6727
锞	305
煃	5
趴	65883
啜	9058
砑	67
溘	414
羯	2050
籼	102
愦	226
麈	220
罴	532
潴	110
鲽	427
佴	141
粽	3504
殂	249
岽	44
轴	18322
鄠	70
襟	25731
祟	16288
愠	4549
轧	4920
眨	96796
缐	15
霨	79
杉	21509
饮	118970
乐	777261
坉	19
蛉	442
雉	3196
傀	11509
虑	257748
梴	4
咡	4
饯	2661
𬴃	1
相	2037659
𫇭	1
匜	6
愧	101919
终	928838
藁	143
侴	1
钾	1160
勠	5
冶	15456
窟	24924
苠	6
礌	41
什	482837
𤫉	1
驹	11021
雨	725802
夼	51
级	5992041
贶	60
座	388237
溧	310
眉	363008
源	247963
端	296021
燊	734
搋	36
芰	390
缘	219838
诓	1237
鞑	6704
淦	586
炅	2097
堼	1
滴	147755
坒	3
漈	27
喁	946
薁	6
疁	3
抠	8376
加	1329723
娵	10
扶	165207
框	27077
维	369459
眶	32098
孢	456
刷	82428
黧	429
蚨	899
继	503303
暨	1717
破	677497
鲊	159
绐	374
付	342109
倒	1085422
樯	632
瘰	78
耒	533
递	161920
柑	1662
绘	39444
镁	1410
伴	189545
蹯	45
漴	4
啁	608
俳	516
攽	22
驵	38
舶	2434
父	875668
娟	73344
制	870793
缴	20828
瑨	171
谧	7782
翻	391455
担	442663
采	264105
必	940786
垮	23379
鹑	1696
侗	2801
缭	16458
橼	139
辘	6744
得	7186261
泂	23
鹟	1
侘	31
瘠	3157
湟	1168
𫚭	1
芋	4992
犋	23
印	328076
唔	24277
询	81883
辟	29252
槊	1764
姊	33465
球	673783
宽	175077
吨	18671
𪨶	1
讽	48151
汧	88
铂	1445
蓂	73
轭	223
肖	145164
铵	130
谌	1821
肯	522836
嶒	36
唛	82
痓	1
缂	80
𬯀	1
骰	6461
菟	703
蜊	419
眊	35
滃	20
廉	48552
骊	2502
𫭟	1
燋	29
誊	1319
凋	8719
懋	1871
嗑	31721
赀	368
厾	44
叨	42610
磕	34655
峁	395
讧	2115
诽	3970
𬘓	1
鳁	1
撵	6858
垟	43
潞	2186
坯	3816
侮	25280
辅	48162
荽	264
绗	39
暑	24942
详	96354
隘	8589
皑	6425
啵	2484
窠	1021
构	152529
舵	17756
笼	92618
叫	1780164
亨	26828
鄙	56241
梃	272
渝	10654
鲒	36
茋	1
厨	89004
凄	75048
瑂	1
沁	26605
鲁	232666
诧	61709
崁	276
推	497296
域	135461
伞	33524
缞	13
濮	6229
陑	5
修	678750
惝	120
浪	312812
监	184302
蛑	62
忘	433907
勘	10762
坎	34470
俘	44284
𨟠	1
鞴	72
轳	484
艋	202
堎	1
殄	1519
镨	12
鐾	48
剋	193
樊	28634
汽	102026
洧	123
紧	1099518
籽	5089
豁	26108
彳	149
佳	179513
𥕢	1
濞	192
真	3314816
俞	26140
电	1308304
慨	69724
开	4346835
连	2453049
关	1675434
脯	20879
茁	2370
喋	12872
槟	4490
糊	235913
斋	25201
鳊	99
蛰	4464
葡	30237
客	692917
浼	155
埵	91
汨	1455
锨	1567
祲	8
翼	203348
牵	132559
淝	844
菂	10
珂	16770
鞯	255
参	387050
玃	10
韵	65629
垯	34
潮	139091
置	379705
轮	197303
勾	105525
拾	136403
劂	57
辞	130151
菪	49
槿	1098
踒	3
镓	29
越	1069177
僰	89
惰	7670
揭	57149
袯	1
户	227192
垵	6
枵	108
次	2307458
玦	463
鲧	702
啮	1811
蕨	1797
缳	312
篁	411
沧	37795
瞵	26
䓨	1
蛴	137
噀	38
碟	29737
髽	10
颟	193
竽	964
磋	10398
劾	4942
纮	469
惠	105490
苁	660
赒	10
爵	99015
狷	373
肩	292628
鹃	14137
眷	22752
悰	86
泼	49868
钊	6726
更	1703553
牢	122872
戋	429
婊	9992
持	641316
钨	940
蒨	49
璨	8552
椠	33
峧	67
薤	77
逶	1164
捂	61933
宁	316588
肠	64218
铃	106215
罗	783225
邠	160
讼	11727
浏	8235
是	31422713
绮	23913
藓	1603
傩	995
况	655810
弨	8
恰	1
紊	9237
也	9508703
镋	24
堵	60166
恶	450814
栲	165
叶	625970
发	3946830
卺	308
疡	1427
花	1277184
敞	32688
筜	9
匾	7783
们	10741874
猾	22222
歆	22877
錾	406
掂	12451
拘	35776
菊	43032
帮	901634
蛊	18585
盯	215011
栟	3
雯	57562
踮	4260
湛	16847
丁	278628
函	21188
鹛	42
漉	15540
芔	1112
再	2681504
警	433398
鹞	2890
缉	17854
袄	9097
预	218758
幞	158
伉	1580
摞	6251
幛	396
夥	3749
桕	121
丞	31715
肌	85084
阄	927
药	361733
忽	585370
杲	1426
拧	27505
媵	276
拶	184
嚯	2372
湮	6375
搞	297226
狂	454887
拂	46509
纛	895
虺	1439
烙	14609
冽	11109
誓	85827
窦	17986
塄	477
媓	3
惙	16
懵	15003
仨	5720
衄	43
讶	157125
㫰	1
噜	24634
些	3752168
纹	84810
镯	17203
囧	66667
畯	26
涮	6455
杏	28316
䶮	1
觥	1597
学	2566534
武	1003137
状	351780
鲂	283
茂	38927
髁	233
挂	273924
猊	2255
跛	5215
促	114241
心	1555834
骒	92
竦	699
茧	9862
髦	9532
剽	3779
蔟	193
锟	1707
淞	2960
生	4966774
翃	108
沮	31096
荧	11956
婧	11971
锯	8954
兢	21644
甯	107
谷	211523
唯	217659
支	532397
祃	5
陉	715
捶	18238
姓	248204
戍	5273
卧	96871
舍	276744
扂	1
骁	6832
腽	23
爽	126266
藜	2577
柄	76846
臧	6026
径	106710
耩	26
刽	3495
戽	67
据	405280
洞	295410
𬶏	1
贞	49541
帛	8140
丛	84510
亳	843
轼	3720
贮	3788
蜂	43029
经	3923455
闯	8145
碜	2095
州	362850
旯	2980
崮	472
娓	8106
墐	3
孵	4385
懔	1327
阀	13822
隺	1
节	511251
茶	248812
闶	117
跏	219
孛	3275
馑	481
淏	139
涵	61455
桥	133378
趵	342
浞	361
疟	1013
赞	177019
穄	9
筛	788301
莜	588
谯	1915
刊	44632
疯	244768
薯	10342
𬬮	1
猞	776
酽	682
𫭢	1
崞	120
浮	173251
臂	190592
馘	47
懂	281377
威	503919
燧	2713
浸	52616
棽	301
𬬱	1
檩	361
胍	71
箓	963
卜	57368
斶	10
鲞	161
践	43099
瑟	81348
皴	308
艎	5
糜	8424
广	374960
宓	4474
劲	327636
鄢	2777
惦	13190
粮	101019
𩽾	1
葆	3520
逢	65868
嚼	27877
𨐈	1
鲮	462
喟	3120
私	212480
见	3460999
郾	953
槁	1759
橦	68
乳	68902
摄	80548
梽	1
触	213213
暴	286046
煽	12160
黹	114
鳞	24865
处	1626692
琟	3
晶	201336
祠	10485
楠	66794
牮	12
崩	61289
政	633184
啐	7045
猜	185596
茜	45677
泮	302
琯	52
奠	12903
启	143594
鸹	545
酂	13
撄	407
啡	74500
雁	43202
妁	678
要	7944607
禁	393944
剧	220881
宄	196
牧	72624
锦	88661
拜	242994
嬛	406
悍	41629
阶	194359
蓟	4057
免	289085
昶	2484
嘶	48915
坷	6829
绒	21219
屃	589
絮	28393
褡	951
冻	55113
苜	1023
笛	43924
垌	75
姐	1158925
瓯	1415
氮	964
铯	124
谮	191
鸻	2
厕	45545
奁	723
泞	5315
祁	25567
膂	566
媪	922
赁	2806
宴	69542
秦	381191
咔	14415
之	1173764
傅	176202
暌	173
璟	2604
蒟	40
钟	439740
磜	6
縻	589
敫	104
间	3067940
驽	1695
钔	34
蚌	3937
傧	332
楦	102
猯	6
咯	1112
煦	7266
琐	22362
豮	1
钯	873
胶	28064
栋	47211
研	263795
喤	22
往	1143436
炜	10302
绞	24555
玠	1132
龀	112
辀	24
沓	8323
呔	1547
情	387901
庋	222
屏	89751
阌	92
昺	147
揠	140
蚜	225
颦	4298
𬴊	1
砠	5
梦	650910
墦	14
捯	71
郅	1054
崿	15
强	1361354
秭	393
巳	5049
桦	13150
棵	58781
邶	1065
煞	70230
停	715546
俚	1301
翚	146
瞽	402
激	535172
翀	253
晦	16663
媭	40
毓	7779
篓	6724
诞	44249
逍	66287
蘼	338
鳒	1
篯	5
灌	66347
踺	33
祝	118177
称	442108
鄞	674
篮	92438
茯	1050
寮	1699
振	124003
跳	532528
其	2417048
册	53085
昴	727
蒹	605
酶	1617
一	35278861
礵	7
怜	195036
逾	13687
𬬭	1
倜	6980
皓	30880
倾	141938
卟	2251
腱	772
旌	6252
氓	42110
遍	247866
谓	235704
垓	724
磉	13
刮	52317
萍	84638
选	498190
嫦	8972
胞	46907
麒	29157
属	394531
酅	7
叔	306517
笮	406
鹀	6
𬶍	1
巨	453730
蹀	193
饵	8126
